NO,주소,층,보증금,월세,관리비,종류,평수,방 수,욕실 수,"향(남향,동향등)",전입가능 여부,주차장,즉시입주여부,복층여부,에어컨,냉장고,세탁기,인덕션,엘리베이터,신발장,옷장,베란다,싱크대,사진1,사진2,사진3,사진4,url 주소
28,인천시 연수구 송도동 29-1,35,30000000,450000,130000,오피스텔,18.83,1,1,남서향,X,O,X,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/FuNJO1XE
29,인천시 연수구 송도동 29-1,35,30000000,450000,130000,오피스텔,18.83,1,1,북서향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/FKGsRuA2
30,인천시 연수구 송도동 29-1,35,30000000,450000,90000,오피스텔,18.83,1,1,동향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/GgUN7hOB
31,인천시 연수구 송도동 29-1,35,30000000,450000,150000,오피스텔,18.83,1,1,남향,X,O,X,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/GXFmyJQv
32,인천시 연수구 송도동 29-1,35,30000000,450000,150000,오피스텔,18.83,1,1,남향,X,O,X,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/FdqQnnVu
33,인천시 연수구 송도동 29-1,35,30000000,400000,250000,오피스텔,18.83,1,1,남향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/xnOGAZrx
34,인천시 연수구 송도동 29-1,35,30000000,450000,150000,오피스텔,18.83,1,1,남서향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/xTy8IdsX
35,인천시 연수구 송도동 29-1,35,30000000,450000,170000,오피스텔,18.83,1,1,남서향,X,O,X,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/FmGpRmOr
36,인천시 연수구 송도동 29-1,35,30000000,450000,150000,오피스텔,18.83,1,1,남향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/5l28FJVR
37,인천시 연수구 송도동 29-1,35,30000000,400000,140000,오피스텔,18.83,1,1,남향,X,O,O,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/FiPrenMj
38,인천시 연수구 송도동 29-1,5,5000000,600000,150000,오피스텔,18.83,1,1,동향,X,O,X,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/FG3l6IQr
