NO,주소,위도,경도,층,보증금 시그모이드,보증금 z score,보증금,월세 시그모이드,월세 zscore,월세,관리비 시그모이드,관리비 zscore,관리비,종류,평수,방 수,욕실 수,향,"향(남향,동향등)(원본)",전입가능여부,전입가능 여부(원본),주차장,주차장(원본),즉시 입주 여부,즉시입주여부(원본),복층 여부,복층여부(원본),에어컨,에어컨(원본),냉장고,냉장고(원본),세탁기,세탁기(원본),인덕션,인덕션(원본),엘리베이터,엘리베이터(원본),신발장,신발장(원본),옷장,옷장(원본),베란다,베란다(원본),싱크대,싱크대(원본),url 주소,버스_시간(분),지하철_시간(분),총_시간(분)
549,인천시 연수구 송도동 149,37.3892215,126.6651121,26,0.978617138,3.823550722,50000000,0.61229,0.45696,700000,0.5412,0.16519,150000,오피스텔,10,1,1,남동,남동,0,.,0,1,1,즉시 입주,0,X,1,O,1,O,1,O,0,X,0,X,0,X,0,X,0,X,1,O,https://naver.me/GqfOmfRf,0,0,28 
550,인천시 연수구 송도동 149,37.3892215,126.6651121,35,0.536775018,0.147366189,10000000,0.70928,0.89191,800000,0.5412,0.16519,150000,오피스텔,10,1,1,북서,북서,0,.,0,1,1,즉시 입주,0,X,1,O,1,O,1,O,1,O,1,O,1,O,1,O,1,O,1,O,https://naver.me/GqfOmfRf,0,0,28 
551,인천시 연수구 송도동 149,37.3892215,126.6651121,3,0.536775018,0.147366189,10000000,0.69103,0.80492,780000,0.5412,0.16519,150000,오피스텔,10,1,1,남서,남서,0,.,0,1,1,즉시 입주,0,X,1,O,1,O,1,O,0,X,0,X,0,X,0,X,0,X,1,O,https://naver.me/x52KeO03,0,0,28 
552,인천시 연수구 송도동 149,37.3892215,126.6651121,29,0.422588357,-0.312156877,5000000,0.70928,0.89191,800000,0.62173,0.4969,180000,오피스텔,10,1,1,북서,북서,0,.,0,1,1,즉시 입주,0,X,1,O,1,O,1,O,0,X,0,X,0,X,0,X,0,X,1,O,https://naver.me/IDkS0g7D,0,0,28 
553,인천시 연수구 송도동 149,37.3892215,126.6651121,4,0.74391404,1.066412322,20000000,0.63273,0.54395,720000,0.56851,0.27576,160000,오피스텔,10,1,1,남서,남서,0,.,0,1,1,즉시 입주,0,X,1,O,1,O,1,O,0,X,0,X,0,X,0,X,0,X,1,O,https://naver.me/GSQBP9ly,0,0,28 
554,인천시 연수구 송도동 149,37.3892215,126.6651121,23,0.879261835,1.985458455,30000000,0.6625,0.67444,750000,0.5412,0.16519,150000,오피스텔,10,1,1,남동,남동,0,.,0,1,1,즉시 입주,0,X,1,O,1,O,1,O,0,X,0,X,0,X,0,X,0,X,1,O,https://naver.me/G9UAxii7,0,0,28 
555,인천시 연수구 송도동 149,37.3892215,126.6651121,11,0.536775018,0.147366189,10000000,0.69103,0.80492,780000,0.56851,0.27576,160000,오피스텔,10,1,1,남동,남동,0,.,0,1,1,즉시 입주,0,X,1,O,1,O,1,O,0,X,0,X,0,X,0,X,0,X,1,O,https://naver.me/I5wSx8bX,0,0,28 
556,인천시 연수구 송도동 149,37.3892215,126.6651121,40,0.422588357,-0.312156877,5000000,0.71817,0.93541,810000,0.78089,1.27088,250000,오피스텔,10,1,1,남서,남서,0,.,0,1,1,즉시 입주,0,X,1,O,1,O,1,O,0,X,0,X,0,X,0,X,0,X,1,O,https://naver.me/I5wSx8bX,0,0,28 
557,인천시 연수구 송도동 155-1,37.3863069,126.6636234,7,0.536775018,0.147366189,10000000,0.6625,0.67444,750000,0.5412,0.16519,150000,오피스텔,8,1,1,북동,북동,0,.,0,1,1,즉시 입주,0,X,1,O,1,O,1,O,1,O,1,O,1,O,1,O,0,X,1,O,https://naver.me/x1uQJtcF,0,0,29 
558,인천시 연수구 송도동 149,37.3892215,126.6651121,8,0.536775018,0.147366189,10000000,0.70023,0.84842,790000,0.5412,0.16519,150000,오피스텔,8,1,1,동,동,0,.,0,1,1,즉시 입주,0,X,1,O,1,O,1,O,1,O,1,O,1,O,1,O,0,X,1,O,https://naver.me/5eD0jr97,0,0,28 
559,인천시 연수구 송도동 172-5,37.3804638,126.6651738,16,0.422588357,-0.312156877,5000000,0.61229,0.45696,700000,0.62173,0.4969,180000,오피스텔,6,1,1,북동,북동,0,.,0,1,1,즉시 입주,1,O,1,O,1,O,1,O,1,O,1,O,1,O,1,O,0,X,1,O,https://naver.me/xsZ4Shv7,0,0,25 
560,인천시 연수구 송도동 172-5,37.3804638,126.6651738,14,0.422588357,-0.312156877,5000000,0.6625,0.67444,750000,0.5412,0.16519,150000,오피스텔,7,1,1,남서,남서,0,.,0,1,1,즉시 입주,1,O,1,O,1,O,1,O,1,O,1,O,1,O,1,O,0,X,1,O,https://asil.kr/asil/index.jsp?UID=2616562447,0,0,25 
561,인천시 연수구 송도동 172-5,37.3804638,126.6651738,11,0.978617138,3.823550722,50000000,0.39821,-0.41294,500000,0.67217,0.71804,200000,오피스텔,6,1,1,북동,북동,0,.,0,1,1,즉시 입주,1,O,1,O,1,O,1,O,1,O,1,O,1,O,1,O,0,X,1,O,https://naver.me/xxoXjeeN,0,0,25 
562,인천시 연수구 송도동 172-5,37.3804638,126.6651738,18,0.422588357,-0.312156877,5000000,0.6625,0.67444,750000,0.45847,-0.16651,120000,오피스텔,6,1,1,북동,북동,0,.,0,1,1,즉시 입주,1,O,1,O,1,O,1,O,1,O,1,O,1,O,1,O,0,X,1,O,https://naver.me/F93LY26n,0,0,25 
